t,Z_real,Z_imag
9.259259259259259522e+00,-9.965276009574618454e-01,8.326308023347296638e-02
9.309309309309309555e+00,-9.972926822495079557e-01,7.353438604885398355e-02
9.359359359359359587e+00,-9.979713714825154680e-01,6.366428905836532537e-02
9.409409409409409619e+00,-9.985595758959810997e-01,5.365420194577857210e-02
9.459459459459459651e+00,-9.990531827916420138e-01,4.350560830387258104e-02
9.509509509509509684e+00,-9.994480613314837836e-01,3.322006473110075686e-02
9.559559559559559716e+00,-9.997400643903572304e-01,2.279920289756456192e-02
9.609609609609609748e+00,-9.999250304640688869e-01,1.224473157856065947e-02
9.659659659659659781e+00,-9.999987856337435588e-01,1.558438653962971763e-03
9.709709709709709813e+00,-9.999571455871881787e-01,-9.257806928369990626e-03
9.759759759759759845e+00,-9.997959176979139828e-01,-2.020205322698850545e-02
9.809809809809809877e+00,-9.995109031624082041e-01,-3.127226342091406208e-02
9.859859859859859910e+00,-9.990978991961699807e-01,-4.246631396530499425e-02
9.909909909909909942e+00,-9.985527012889521270e-01,-5.378199279068020255e-02
9.959959959959959974e+00,-9.978711055195811364e-01,-6.521699754764009871e-02
1.001001001001001001e+01,-9.970489109306422959e-01,-7.676893389920257105e-02
1.006006006006006004e+01,-9.960819219632490729e-01,-8.843531386273158212e-02
1.011011011011011007e+01,-9.949659509520321077e-01,-1.002135542036024646e-01
1.016016016016016010e+01,-9.936968206804045467e-01,-1.121009748827186264e-01
1.021021021021021014e+01,-9.922703669960769579e-01,-1.240947975600540376e-01
1.026026026026026017e+01,-9.906824414867210216e-01,-1.361921441563707924e-01
1.031031031031031020e+01,-9.889289142155824885e-01,-1.483900354753951434e-01
1.036036036036036023e+01,-9.870056765167741775e-01,-1.606853898886420606e-01
1.041041041041041026e+01,-9.849086438498807494e-01,-1.730750220851895727e-01
1.046046046046046030e+01,-9.826337587134287288e-01,-1.855556418886775971e-01
1.051051051051051033e+01,-9.801769936166780939e-01,-1.981238531438619110e-01
1.056056056056056036e+01,-9.775343541091056077e-01,-2.107761526750446535e-01
1.061061061061061039e+01,-9.747018818668629070e-01,-2.235089293187098869e-01
1.066066066066066043e+01,-9.716756578353755724e-01,-2.363184630328112323e-01
1.071071071071071223e+01,-9.684518054272003296e-01,-2.492009240849562823e-01
1.076076076076076227e+01,-9.650264937741066529e-01,-2.621523723220030022e-01
1.081081081081081230e+01,-9.613959410323058563e-01,-2.751687565233509325e-01
1.086086086086086233e+01,-9.575564177395968768e-01,-2.882459138404404597e-01
1.091091091091091236e+01,-9.535042502231692030e-01,-3.013795693247168783e-01
1.096096096096096240e+01,-9.492358240566152183e-01,-3.145653355466215273e-01
1.101101101101101243e+01,-9.447475875647061150e-01,-3.277987123078247023e-01
1.106106106106106246e+01,-9.400360553742658221e-01,-3.410750864492892998e-01
1.111111111111111249e+01,-9.350978120095151391e-01,-3.543897317573089789e-01
1.116116116116116252e+01,-9.299295155299851512e-01,-3.677378089701506814e-01
1.121121121121121256e+01,-9.245279012091832671e-01,-3.811143658873838436e-01
1.126126126126126259e+01,-9.188897852519125609e-01,-3.945143375844458178e-01
1.131131131131131262e+01,-9.130120685481810661e-01,-4.079325467345938372e-01
1.136136136136136265e+01,-9.068917404614166289e-01,-4.213637040406572054e-01
1.141141141141141269e+01,-9.005258826487186896e-01,-4.348024087786844794e-01
1.146146146146146272e+01,-8.939116729106307835e-01,-4.482431494558700158e-01
1.151151151151151275e+01,-8.870463890679531893e-01,-4.616803045847910347e-01
1.156156156156156278e+01,-8.799274128628711278e-01,-4.751081435762329885e-01
1.161161161161161282e+01,-8.725522338817059964e-01,-4.885208277525582843e-01
1.166166166166166285e+01,-8.649184534963547666e-01,-5.019124114837907324e-01
1.171171171171171288e+01,-8.570237888214858879e-01,-5.152768434483206983e-01
1.176176176176176291e+01,-8.488660766843849625e-01,-5.286079680202141473e-01
1.181181181181181294e+01,-8.404432776042598530e-01,-5.418995267850019726e-01
1.186186186186186298e+01,-8.317534797777157429e-01,-5.551451601857491092e-01
1.191191191191191301e+01,-8.227949030670187458e-01,-5.683384093011268900e-01
1.196196196196196304e+01,-8.135659029875881298e-01,-5.814727177572396322e-01
1.201201201201201307e+01,-8.040649746911832096e-01,-5.945414337746923739e-01
1.206206206206206311e+01,-7.942907569409881630e-01,-6.075378123525415619e-01
1.211211211211211314e+01,-7.842420360749082775e-01,-6.204550175903827958e-01
1.216216216216216317e+01,-7.739177499530021098e-01,-6.332861251501429312e-01
1.221221221221221320e+01,-7.633169918851993030e-01,-6.460241248586081619e-01
1.226226226226226323e+01,-7.524390145351098624e-01,-6.586619234519578425e-01
1.231231231231231327e+01,-7.412832337957501183e-01,-6.711923474633149089e-01
1.236236236236236330e+01,-7.298492326328792634e-01,-6.836081462542684672e-01
1.241241241241241333e+01,-7.181367648916182622e-01,-6.959019951911337154e-01
1.246246246246246336e+01,-7.061457590617852276e-01,-7.080664989667673215e-01
1.251251251251251340e+01,-6.938763219975181418e-01,-7.200941950683927839e-01
1.256256256256256343e+01,-6.813287425864213986e-01,-7.319775573920322964e-01
1.261261261261261346e+01,-6.685034953636054267e-01,-7.437090000037931414e-01
1.266266266266266349e+01,-6.554012440657834837e-01,-7.552808810482516400e-01
1.271271271271271353e+01,-6.420228451205962639e-01,-7.666855068039664101e-01
1.276276276276276356e+01,-6.283693510661505499e-01,-7.779151358861099430e-01
1.281281281281281359e+01,-6.144420138958517352e-01,-7.889619835959208460e-01
1.286286286286286362e+01,-6.002422883234045381e-01,-7.998182264166545652e-01
1.291291291291291365e+01,-5.857718349628890930e-01,-8.104760066554776987e-01
1.296296296296296369e+01,-5.710325234186460763e-01,-8.209274372306808454e-01
1.301301301301301372e+01,-5.560264352799075827e-01,-8.311646066032400970e-01
1.306306306306306375e+01,-5.407558670146632718e-01,-8.411795838518787427e-01
1.311311311311311378e+01,-5.252233327576383282e-01,-8.509644238903052438e-01
1.316316316316316382e+01,-5.094315669868869634e-01,-8.605111728253648229e-01
1.321321321321321385e+01,-4.933835270836848808e-01,-8.698118734545204900e-01
1.326326326326326388e+01,-4.770823957702601259e-01,-8.788585709009777425e-01
1.331331331331331391e+01,-4.605315834199265601e-01,-8.876433183845497954e-01
1.336336336336336394e+01,-4.437347302341841937e-01,-8.961581831261687947e-01
1.341341341341341398e+01,-4.266957082812648516e-01,-9.043952523837958113e-01
1.346346346346346401e+01,-4.094186233906818573e-01,-9.123466396172449366e-01
1.351351351351351404e+01,-3.919078168983576305e-01,-9.200044907792370719e-01
1.356356356356356407e+01,-3.741678672366942071e-01,-9.273609907299010802e-01
1.361361361361361411e+01,-3.562035913644196472e-01,-9.344083697715306336e-01
1.366366366366366414e+01,-3.380200460304405574e-01,-9.411389103004820234e-01
1.371371371371371417e+01,-3.196225288665711650e-01,-9.475449535726195860e-01
1.376376376376376420e+01,-3.010165793036270743e-01,-9.536189065786936370e-01
1.381381381381381424e+01,-2.822079793055918273e-01,-9.593532490257458134e-01
1.386386386386386427e+01,-2.632027539165773256e-01,-9.647405404204436596e-01
1.391391391391391430e+01,-2.440071716153474901e-01,-9.697734272500346808e-01
1.396396396396396433e+01,-2.246277444722493133e-01,-9.744446502563959278e-01
1.401401401401401436e+01,-2.050712281034186846e-01,-9.787470517984488971e-01
1.406406406406406440e+01,-1.853446214173750106e-01,-9.826735832979586194e-01
1.411411411411411443e+01,-1.654551661488949110e-01,-9.862173127635924796e-01
1.416416416416416446e+01,-1.454103461754820970e-01,-9.893714323878198824e-01
1.421421421421421449e+01,-1.252178866116478717e-01,-9.921292662110681171e-01
1.426426426426426453e+01,-1.048857526763833231e-01,-9.944842778473215184e-01
1.431431431431431456e+01,-8.442214832934960556e-02,-9.964300782651320798e-01
1.436436436436436459e+01,-6.383551467137016378e-02,-9.979604336178069524e-01
1.441441441441441462e+01,-4.313452810508185131e-02,-9.990692731163098861e-01
1.446446446446446465e+01,-2.232809825153032890e-02,-9.997506969382267128e-01
1.451451451451451469e+01,-1.425365618904055227e-03,-9.999989841659102652e-01
1.456456456456456472e+01,1.956430098045696189e-02,-9.998086007467359426e-01
1.461461461461461475e+01,4.063130726834516399e-02,-9.991742074681798647e-01
1.466466466466466478e+01,6.176583659765389617e-02,-9.980906679402387072e-01
1.471471471471471482e+01,8.295785331131814988e-02,-9.965530565775100325e-01
1.476476476476476485e+01,1.041971063662182478e-01,-9.945566665730550815e-01
1.481481481481481488e+01,1.254731332249169329e-01,-9.920970178559767039e-01
1.486486486486486491e+01,1.467752640177448775e-01,-9.891698650244664659e-01
1.491491491491491495e+01,1.680926259777856535e-01,-9.857712052458685870e-01
1.496496496496496675e+01,1.894141481507324032e-01,-9.818972861151681331e-01
1.501501501501501679e+01,2.107285663816771404e-01,-9.775446134631007311e-01
1.506506506506506682e+01,2.320244285803970685e-01,-9.727099591049431782e-01
1.511511511511511685e+01,2.532901002665888246e-01,-9.673903685208683489e-01
1.516516516516516688e+01,2.745137703961956777e-01,-9.615831684585919303e-01
1.521521521521521692e+01,2.956834574696214912e-01,-9.552859744489137217e-01
1.526526526526526695e+01,3.167870159224809301e-01,-9.484966982245799372e-01
1.531531531531531698e+01,3.378121427991356840e-01,-9.412135550327865863e-01
1.536536536536536701e+01,3.587463847090076041e-01,-9.334350708315050094e-01
1.541541541541541704e+01,3.795771450652833945e-01,-9.251600893597220487e-01
1.546546546546546708e+01,4.002916916054769514e-01,-9.163877790715160288e-01
1.551551551551551711e+01,4.208771641927915308e-01,-9.071176399238601862e-01
1.556556556556556714e+01,4.413205828970114819e-01,-8.973495100079132980e-01
1.561561561561561717e+01,4.616088563532814160e-01,-8.870835720134916391e-01
1.566566566566566721e+01,4.817287903968004992e-01,-8.763203595163332471e-01
1.571571571571571724e+01,5.016670969710780303e-01,-8.650607630777221724e-01
1.576576576576576727e+01,5.214104033070797728e-01,-8.533060361459705589e-01
1.581581581581581730e+01,5.409452613701862811e-01,-8.410578007492355290e-01
1.586586586586586733e+01,5.602581575715090967e-01,-8.283180529691346328e-01
1.591591591591591737e+01,5.793355227398482299e-01,-8.150891681845287007e-01
1.596596596596596740e+01,5.981637423499837070e-01,-8.013739060749746068e-01
1.601601601601601743e+01,6.167291670028074435e-01,-7.871754153732338777e-01
1.606606606606606746e+01,6.350181231523626124e-01,-7.724972383562616063e-01
1.611611611611611750e+01,6.530169240742613734e-01,-7.573433150643045231e-01
1.616616616616616753e+01,6.707118810699821410e-01,-7.417179872374447536e-01
1.621621621621621756e+01,6.880893149006491738e-01,-7.256260019593807620e-01
1.626626626626626759e+01,7.051355674438670729e-01,-7.090725149980188213e-01
1.631631631631631763e+01,7.218370135665940213e-01,-6.920630938326799431e-01
1.636636636636636766e+01,7.381800732066858828e-01,-6.746037203577903707e-01
1.641641641641641769e+01,7.541512236553098436e-01,-6.567007932530605219e-01
1.646646646646646772e+01,7.697370120320299325e-01,-6.383611300102807196e-01
1.651651651651651775e+01,7.849240679439570822e-01,-6.195919686070101573e-01
1.656656656656656779e+01,7.996991163199167474e-01,-6.004009688176262793e-01
1.661661661661661782e+01,8.140489904102098384e-01,-5.807962131523569660e-01
1.666666666666666785e+01,8.279606449421319514e-01,-5.607862074150977705e-01
1.671671671671671788e+01,8.414211694209411396e-01,-5.403798808711292034e-01
1.676676676676676792e+01,8.544178015656810343e-01,-5.195865860159097904e-01
1.681681681681681795e+01,8.669379408687191146e-01,-4.984160979365586663e-01
