x,pi_x,psi_x
3.437237237237236798e+01,1.100000000000000000e+01,9.217217966928100026e+00
3.447047047047046675e+01,1.100000000000000000e+01,9.209797759651632276e+00
3.456856856856856552e+01,1.100000000000000000e+01,9.202410525933139240e+00
3.466666666666666430e+01,1.100000000000000000e+01,9.195056016838917046e+00
3.476476476476476307e+01,1.100000000000000000e+01,9.187733986065964586e+00
3.486286286286286185e+01,1.100000000000000000e+01,9.180444189906380004e+00
3.496096096096096062e+01,1.100000000000000000e+01,9.173186387212330928e+00
3.505905905905905939e+01,1.100000000000000000e+01,9.165960339361609144e+00
3.515715715715715817e+01,1.100000000000000000e+01,9.158765810223750137e+00
3.525525525525525694e+01,1.100000000000000000e+01,9.151602566126690874e+00
3.535335335335334861e+01,1.100000000000000000e+01,9.144470375823999575e+00
3.545145145145144738e+01,1.100000000000000000e+01,9.137369010462599306e+00
3.554954954954954616e+01,1.100000000000000000e+01,9.130298243551047577e+00
3.564764764764764493e+01,1.100000000000000000e+01,9.123257850928307988e+00
3.574574574574574370e+01,1.100000000000000000e+01,9.116247610733031692e+00
3.584384384384384248e+01,1.100000000000000000e+01,9.109267303373330904e+00
3.594194194194194125e+01,1.100000000000000000e+01,9.102316711497026702e+00
3.604004004004004003e+01,1.100000000000000000e+01,9.095395619962394207e+00
3.613813813813813880e+01,1.100000000000000000e+01,9.088503815809344744e+00
3.623623623623623757e+01,1.100000000000000000e+01,9.081641088231084069e+00
3.633433433433433635e+01,1.100000000000000000e+01,9.074807228546214688e+00
3.643243243243242802e+01,1.100000000000000000e+01,9.068002030171275152e+00
3.653053053053052679e+01,1.100000000000000000e+01,9.061225288593707461e+00
3.662862862862862556e+01,1.100000000000000000e+01,9.054476801345261450e+00
3.672672672672672434e+01,1.100000000000000000e+01,9.047756367975802405e+00
3.682482482482482311e+01,1.100000000000000000e+01,9.041063790027530800e+00
3.692292292292292188e+01,1.100000000000000000e+01,9.034398871009605259e+00
3.702102102102102066e+01,1.200000000000000000e+01,1.002760414748355267e+01
3.711911911911911943e+01,1.200000000000000000e+01,1.002026187354976017e+01
3.721721721721721821e+01,1.200000000000000000e+01,1.001294967990410711e+01
3.731531531531531698e+01,1.200000000000000000e+01,1.000566735675992902e+01
3.741341341341340865e+01,1.200000000000000000e+01,9.998414696380818256e+00
3.751151151151150742e+01,1.200000000000000000e+01,9.991191493054934369e+00
3.760960960960960620e+01,1.200000000000000000e+01,9.983997543069717651e+00
3.770770770770770497e+01,1.200000000000000000e+01,9.976832644686972174e+00
3.780580580580580374e+01,1.200000000000000000e+01,9.969696598118346742e+00
3.790390390390390252e+01,1.200000000000000000e+01,9.962589205501171108e+00
3.800200200200200129e+01,1.200000000000000000e+01,9.955510270874663448e+00
3.810010010010010006e+01,1.200000000000000000e+01,9.948459600156486005e+00
3.819819819819819884e+01,1.200000000000000000e+01,9.941437001119677319e+00
3.829629629629629761e+01,1.200000000000000000e+01,9.934442283369891769e+00
3.839439439439438928e+01,1.200000000000000000e+01,9.927475258323019247e+00
3.849249249249248805e+01,1.200000000000000000e+01,9.920535739183105051e+00
3.859059059059058683e+01,1.200000000000000000e+01,9.913623540920610822e+00
3.868868868868868560e+01,1.200000000000000000e+01,9.906738480251009449e+00
3.878678678678678438e+01,1.200000000000000000e+01,9.899880375613667738e+00
3.888488488488488315e+01,1.200000000000000000e+01,9.893049047151070141e+00
3.898298298298298192e+01,1.200000000000000000e+01,9.886244316688317824e+00
3.908108108108108070e+01,1.200000000000000000e+01,9.879466007712958131e+00
3.917917917917917947e+01,1.200000000000000000e+01,9.872713945355085841e+00
3.927727727727727824e+01,1.200000000000000000e+01,9.865987956367744616e+00
3.937537537537537702e+01,1.200000000000000000e+01,9.859287869107609126e+00
3.947347347347346869e+01,1.200000000000000000e+01,9.852613513515953159e+00
3.957157157157156746e+01,1.200000000000000000e+01,9.845964721099884187e+00
3.966966966966966623e+01,1.200000000000000000e+01,9.839341324913853271e+00
3.976776776776776501e+01,1.200000000000000000e+01,9.832743159541438516e+00
3.986586586586586378e+01,1.200000000000000000e+01,9.826170061077368345e+00
